City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Darhan,MN,2020-06-22 01:13:48,49.49,105.92,64.33,64,100,5.48
70,Upernavik,GL,2020-06-22 01:13:49,72.79,-56.15,41.52,66,100,6.31
71,Port Shepstone,ZA,2020-06-22 01:13:49,-30.74,30.45,62.96,71,0,5.97
72,Tomatlan,MX,2020-06-22 01:13:49,19.93,-105.25,84.72,56,81,3.83
73,Coahuayana,MX,2020-06-22 01:13:50,18.73,-103.68,82.4,65,40,17.22
74,Puerto Ayora,EC,2020-06-22 01:13:50,-0.74,-90.35,70.0,94,10,1.01
75,Williams Lake,CA,2020-06-22 01:13:16,52.14,-122.14,68.0,45,75,5.82
76,Dikson,RU,2020-06-22 01:13:51,73.51,80.55,45.03,74,100,15.88
77,Narsaq,GL,2020-06-22 01:13:51,60.92,-46.05,51.8,57,100,4.7
78,Palmerston,AU,2020-06-22 01:13:51,-12.49,130.98,79.0,38,0,16.11
79,Hilo,US,2020-06-22 01:11:36,19.73,-155.09,84.2,54,1,10.29
80,Ribeira Grande,PT,2020-06-22 01:13:52,38.52,-28.7,66.31,87,7,14.23
81,Husavik,IS,2020-06-22 01:13:52,66.04,-17.34,55.4,71,75,11.41
82,Portland,US,2020-06-22 01:09:04,45.52,-122.68,75.99,44,20,5.82
83,Nordby,DK,2020-06-22 01:13:53,55.45,8.4,59.0,100,100,3.36
84,Bambous Virieux,MU,2020-06-22 01:13:53,-20.34,57.76,69.8,83,40,10.29
85,New Norfolk,AU,2020-06-22 01:13:54,-42.78,147.06,55.0,93,99,4.07
86,Souillac,MU,2020-06-22 01:13:54,-20.52,57.52,69.8,83,40,10.29
87,Alugan,PH,2020-06-22 01:13:55,12.22,125.48,84.94,75,99,9.53
88,Mar Del Plata,AR,2020-06-22 01:13:55,-38.0,-57.56,50.0,87,20,5.75
89,Katsuura,JP,2020-06-22 01:13:55,35.13,140.3,70.0,88,75,10.29
90,Black River,JM,2020-06-22 01:13:55,18.03,-77.85,86.0,79,40,10.29
91,Jeremie,HT,2020-06-22 01:13:56,18.65,-74.12,82.33,74,1,2.53
92,Bathsheba,BB,2020-06-22 01:13:56,13.22,-59.52,82.4,83,40,21.92
93,Diego De Almagro,CL,2020-06-22 01:13:56,-26.37,-70.05,50.54,66,0,1.41
94,Pitimbu,BR,2020-06-22 01:13:56,-7.47,-34.81,73.4,94,20,5.82
95,Kailua,US,2020-06-22 01:13:57,21.4,-157.74,84.2,58,75,11.41
96,Yurga,RU,2020-06-22 01:13:57,55.72,84.89,51.44,75,100,9.33
97,Kutahya,TR,2020-06-22 01:13:57,39.42,29.98,53.6,100,40,3.02
98,Sorong,ID,2020-06-22 01:13:58,-0.88,131.25,83.05,75,1,10.13
99,Leningradskiy,RU,2020-06-22 01:13:58,69.38,178.42,62.02,46,0,4.52
100,Bull Savanna,JM,2020-06-22 01:13:59,17.89,-77.59,79.0,83,52,12.46
101,Harper,LR,2020-06-22 01:13:59,4.38,-7.72,76.15,86,100,9.95
102,Cascais,PT,2020-06-22 01:13:46,38.7,-9.42,66.0,97,0,20.0
103,Yellowknife,CA,2020-06-22 01:13:59,62.46,-114.35,80.01,36,20,12.75
104,Saint-Philippe,RE,2020-06-22 01:14:00,-21.36,55.77,68.0,68,39,8.05
105,Liman,UA,2020-06-22 01:14:00,48.99,37.8,64.89,94,100,17.38
106,Grand Gaube,MU,2020-06-22 01:14:00,-20.01,57.66,69.01,84,15,3.0
107,Carahue,CL,2020-06-22 01:14:01,-38.7,-73.17,44.6,100,100,3.36
108,Patacamaya,BO,2020-06-22 01:14:01,-17.23,-67.92,44.6,60,0,4.32
109,Tuktoyaktuk,CA,2020-06-22 01:14:01,69.45,-133.04,50.0,71,75,11.41
110,Lewiston,US,2020-06-22 01:14:01,44.1,-70.21,66.2,93,75,4.7
111,Bonthe,SL,2020-06-22 01:14:02,7.53,-12.51,78.12,86,100,4.76
112,Swan Hill,AU,2020-06-22 01:14:02,-35.34,143.55,49.98,83,96,10.54
113,Itapora,BR,2020-06-22 01:14:02,-22.08,-54.79,67.69,61,0,3.51
114,Codrington,AU,2020-06-22 01:14:03,-38.27,141.97,54.39,78,96,7.85
