,City,Country,Max Temp,Lat,Lon,Hotel Name
6,Kostomuksha,RU,57.87,64.57,30.58,
19,Villablino,ES,75.99,42.94,-6.32,
25,Butaritari,KI,79.23,3.07,172.79,
39,Cidreira,BR,56.1,-30.18,-50.21,
49,Camopi,GF,79.43,3.17,-52.32,
55,Victoria,HK,84.0,22.29,114.16,
64,Chuy,UY,53.51,-33.7,-53.46,
68,Tezu,IN,79.07,27.92,96.17,
85,Mabaruma,GY,84.4,8.2,-59.78,
89,Kalawit,PH,78.17,8.07,122.52,
98,Inirida,CO,84.58,3.87,-67.92,
106,Churapcha,RU,58.15,62.0,132.43,
107,Albany,US,78.01,42.6,-73.97,
114,Hobart,AU,55.4,-42.88,147.33,
126,New Norfolk,AU,50.0,-42.78,147.06,
147,Ternovka,RU,66.74,51.68,41.64,
153,Tuzha,RU,59.47,57.61,47.94,
172,Lashio,MM,70.77,22.93,97.75,
179,Isangel,VU,68.02,-19.55,169.27,
187,Athabasca,CA,61.47,54.72,-113.29,
194,Tres Passos,BR,53.01,-27.46,-53.93,
205,Avarua,CK,77.0,-21.21,-159.78,
209,Ouadda,CF,71.38,8.08,22.4,
242,Tokonou,GN,78.21,9.65,-9.78,
251,Broome,US,77.0,42.25,-75.83,
260,Lebu,CL,52.84,-37.62,-73.65,
263,Novovarshavka,RU,64.27,54.17,74.69,
268,Sheregesh,RU,62.06,52.92,87.99,
274,Phek,IN,62.58,25.67,94.5,
285,Shimoda,JP,66.0,34.67,138.95,
311,Bonthe,SL,78.8,7.53,-12.51,
348,Maraa,BR,82.78,-1.83,-65.37,
360,Ambon,ID,79.0,-3.7,128.18,
366,Tura,IN,75.87,25.52,90.22,
380,Portland,US,62.01,45.52,-122.68,
381,Manokwari,ID,78.46,-0.87,134.08,
388,Kolyshley,RU,64.04,52.7,44.54,
411,Alofi,NU,75.2,-19.06,-169.92,
415,Lowestoft,GB,66.99,52.48,1.75,
438,Mana,GF,74.43,5.66,-53.78,
445,Kachug,RU,61.09,53.96,105.88,
447,Guatire,VE,81.0,10.48,-66.54,
452,Yenagoa,NG,77.31,4.92,6.26,
467,Taiyuan,CN,73.4,37.87,112.56,
477,Kurumkan,RU,64.51,54.3,110.3,
481,Saint-Augustin,CA,66.51,51.23,-58.65,
490,Guntur,IN,82.06,16.3,80.45,
495,Freeport,US,82.0,40.66,-73.58,
505,Rangpo,IN,79.09,27.18,88.53,
524,Gaoual,GN,82.11,11.75,-13.2,
540,Holden,US,78.01,42.35,-71.86,
